Compte au 28/02/2023 : 8300.00 EUR
JPY/EUR : 0.482
USD/EUR : 1.445
Date;Montant;Devise;Categorie
06/10/2022;-504.61;EUR;Loisir
15/10/2022;-408.61;JPY;Transport
16/08/2022;-103.46;USD;Loisir
02/11/2022;-271.49;JPY;Sante
17/07/2022;-44.17;USD;Alimentation
12/10/2022;-984.79;JPY;Assurance
27/11/2022;-429.12;EUR;Transport
10/07/2022;-458.98;JPY;Enfants
29/01/2023;-636.65;EUR;Communication
23/12/2022;-598.28;JPY;Transport
29/12/2022;-268.41;EUR;Loisir
17/09/2022;-910.16;EUR;Alimentation
22/10/2022;-602.22;JPY;Assurance
19/02/2022;-9.18;EUR;Transport
25/04/2022;-481.32;JPY;Assurance
15/12/2022;-983.77;EUR;Transport
05/02/2022;-194.24;USD;Alimentation
07/08/2022;-345.58;JPY;Habitation
16/08/2022;-278.38;JPY;Sante
24/05/2022;-827.49;EUR;Habitation
19/12/2022;-327.82;USD;Communication
11/06/2022;-307.36;EUR;Enfants
24/09/2022;-827.22;JPY;Assurance
02/08/2022;-112.46;JPY;Transport
18/11/2022;-44.55;USD;Loisir
20/02/2023;-814.03;USD;Loisir
05/01/2022;-820.54;USD;Habitation
11/11/2022;-752.88;JPY;Communication
01/04/2022;-198.15;EUR;Enfants
27/10/2022;-467.39;JPY;Loisir
07/04/2022;-141.43;JPY;Transport
01/12/2022;-709.98;EUR;Loisir
28/08/2022;-844.91;JPY;Habitation
08/12/2022;-385.22;EUR;Habitation
13/11/2022;-129.34;EUR;Alimentation
28/08/2022;-840.45;JPY;Communication
09/08/2022;-99.93;EUR;Assurance
28/12/2022;-948.35;EUR;Assurance
20/01/2022;-449.02;JPY;Alimentation
05/06/2022;-231.81;USD;Alimentation
20/05/2022;-402.81;EUR;Habitation
12/02/2022;-68.18;JPY;Loisir
05/02/2023;-938.94;JPY;Habitation
17/07/2022;6039.89;EUR;Cadeau
29/12/2022;2389.59;EUR;Salaire
10/05/2022;-390.31;JPY;Sante
23/05/2022;-371.49;JPY;Enfants
23/02/2022;-16.93;USD;Sante
29/11/2022;-150.43;JPY;Communication
15/02/2022;-711.92;EUR;Alimentation
16/11/2022;-204.36;USD;Alimentation
09/02/2022;-234.21;JPY;Loisir
24/10/2022;-95.47;USD;Sante
03/09/2022;2188.67;JPY;Aide
10/07/2022;-64.70;USD;Loisir
28/10/2022;-261.22;USD;Communication
07/09/2022;-353.07;JPY;Transport
27/02/2022;8436.14;USD;Cadeau
07/01/2023;-46.07;EUR;Transport
21/10/2022;7853.10;USD;Primes
05/01/2023;7911.82;USD;Aide
21/10/2022;-633.54;EUR;Assurance
14/12/2022;-685.82;USD;Enfants
30/05/2022;-241.63;EUR;Sante
07/11/2022;-622.47;JPY;Sante
21/06/2022;7542.81;EUR;Aide
25/01/2023;-697.83;JPY;Communication
03/12/2022;-810.32;USD;Communication
30/07/2022;-564.75;USD;Enfants
28/03/2022;-631.01;USD;Habitation
12/07/2022;-686.90;EUR;Assurance
22/04/2022;-808.48;EUR;Transport
31/01/2023;-348.00;EUR;Communication
26/02/2022;-824.72;JPY;Sante
17/08/2022;-652.80;USD;Loisir
18/03/2022;-22.81;EUR;Alimentation
22/11/2022;-308.23;USD;Habitation
14/04/2022;5637.49;JPY;Aide
20/02/2023;-650.83;EUR;Transport
07/03/2022;-554.47;EUR;Communication
09/06/2022;-806.59;EUR;Assurance
04/12/2022;-147.57;JPY;Communication
12/04/2022;-607.08;EUR;Communication
25/09/2022;-775.37;USD;Communication
27/08/2022;8564.63;USD;Salaire
09/01/2023;-368.69;EUR;Enfants
19/09/2022;-997.82;USD;Assurance
10/02/2023;-251.37;USD;Communication
12/02/2022;-578.28;USD;Transport
13/06/2022;5981.88;JPY;Primes
08/06/2022;-190.96;USD;Communication
08/08/2022;-355.20;JPY;Loisir
03/07/2022;-872.03;EUR;Sante
13/04/2022;-966.52;EUR;Loisir
12/06/2022;-151.10;JPY;Sante
18/02/2023;-491.53;EUR;Loisir
05/05/2022;-636.82;USD;Loisir
01/07/2022;-588.67;EUR;Sante
15/09/2022;-375.46;USD;Sante
06/04/2022;-410.86;JPY;Assurance
27/06/2022;-513.01;USD;Loisir
06/04/2022;-400.67;JPY;Habitation
15/01/2022;-242.03;USD;Enfants
01/12/2022;-346.40;EUR;Habitation
01/10/2022;9157.74;JPY;Aide
07/01/2022;7099.86;USD;Cadeau
31/08/2022;-597.35;EUR;Sante
24/11/2022;877.48;EUR;Cadeau
16/01/2022;-646.99;EUR;Enfants
07/06/2022;-716.29;USD;Communication
03/01/2023;3728.10;EUR;Cadeau
01/08/2022;-829.17;EUR;Transport
05/08/2022;-7.50;EUR;Alimentation
02/07/2022;605.96;EUR;Cadeau
26/10/2022;-31.56;EUR;Loisir
05/01/2022;5855.93;JPY;Primes
05/05/2022;-79.06;JPY;Enfants
29/03/2022;-422.93;EUR;Sante
03/02/2023;-878.61;EUR;Communication
13/01/2022;-466.18;EUR;Enfants
12/05/2022;-555.93;JPY;Sante
21/12/2022;-165.94;JPY;Alimentation
20/01/2023;-975.52;JPY;Habitation
03/07/2022;1345.80;EUR;Aide
07/01/2022;-841.79;JPY;Sante
15/12/2022;-7.97;USD;Loisir
15/08/2022;3365.42;EUR;Salaire
06/11/2022;-311.11;USD;Habitation
19/01/2022;4477.37;EUR;Aide
13/02/2023;-201.61;EUR;Communication
08/01/2023;-144.54;JPY;Alimentation
17/07/2022;-834.05;USD;Transport
18/12/2022;-507.13;JPY;Loisir
02/09/2022;-964.99;USD;Communication
24/02/2022;-691.31;USD;Sante
24/08/2022;-653.20;EUR;Assurance
22/09/2022;-733.65;EUR;Habitation
16/06/2022;-412.57;JPY;Enfants
14/01/2023;-968.85;EUR;Transport
12/08/2022;-671.72;EUR;Assurance
07/01/2022;6866.65;JPY;Aide
26/03/2022;-497.59;USD;Transport
08/12/2022;-500.91;USD;Loisir
15/02/2022;-412.01;EUR;Alimentation
14/03/2022;-21.88;JPY;Enfants
09/03/2022;-544.15;EUR;Transport
